air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,93,138,168,65f9ea319a9354a3f5193a65,65fac165962db3adedf2d007,65fabb46962db3adedf2cf31
air_force_blue_usaf,Air Force Blue (Usaf),#00308f,0,48,143,65fac165962db3adedf2d007,65fac193962db3adedf2d00e,65fac094962db3adedf2cfe0
air_superiority_blue,Air Superiority Blue,#72a0c1,114,160,193,65fabb46962db3adedf2cf31,65f9ea319a9354a3f5193a65,65fac165962db3adedf2d007
alabama_crimson,Alabama Crimson,#a32638,163,38,56,65fac11d962db3adedf2cffe,65fac165962db3adedf2d007,65fac094962db3adedf2cfe0
alice_blue,Alice Blue,#f0f8ff,240,248,255,65fac11d962db3adedf2cffe,65fac165962db3adedf2d007,65fabb46962db3adedf2cf31
alizarin_crimson,Alizarin Crimson,#e32636,227,38,54,65fac094962db3adedf2cfe0,65fabb46962db3adedf2cf31,65fac165962db3adedf2d007
alloy_orange,Alloy Orange,#c46210,196,98,16,65fac193962db3adedf2d00e,65fac11d962db3adedf2cffe,65fac094962db3adedf2cfe0
almond,Almond,#efdecd,239,222,205,65fac165962db3adedf2d007,65fac094962db3adedf2cfe0,65fac11d962db3adedf2cffe
amaranth,Amaranth,#e52b50,229,43,80,65fac165962db3adedf2d007,65f9ea319a9354a3f5193a65,65fac094962db3adedf2cfe0
amber,Amber,#ffbf00,255,191,0,65fac165962db3adedf2d007,65f9ea319a9354a3f5193a65,65fac11d962db3adedf2cffe
amber_sae_ece,Amber (Sae/Ece),#ff7e00,255,126,0,65fac11d962db3adedf2cffe,65fabb46962db3adedf2cf31,65fac094962db3adedf2cfe0
american_rose,American Rose,#ff033e,255,3,62,65fabb46962db3adedf2cf31,65f9ea319a9354a3f5193a65,65fac11d962db3adedf2cffe
amethyst,Amethyst,#96c,153,102,204,65f9ea319a9354a3f5193a65,65fac094962db3adedf2cfe0,65fabb46962db3adedf2cf31
android_green,Android Green,#a4c639,164,198,57,65f9ea319a9354a3f5193a65,65fac193962db3adedf2d00e,65fac165962db3adedf2d007
anti_flash_white,Anti-Flash White,#f2f3f4,242,243,244,65fac094962db3adedf2cfe0,65fac11d962db3adedf2cffe,65f9ea319a9354a3f5193a65
antique_brass,Antique Brass,#cd9575,205,149,117,65fac165962db3adedf2d007,65f9ea319a9354a3f5193a65,65fac193962db3adedf2d00e
antique_fuchsia,Antique Fuchsia,#915c83,145,92,131,65fac094962db3adedf2cfe0,65f9ea319a9354a3f5193a65,65fac165962db3adedf2d007
antique_ruby,Antique Ruby,#841b2d,132,27,45,65fabb46962db3adedf2cf31,65fac094962db3adedf2cfe0,65fac193962db3adedf2d00e
antique_white,Antique White,#faebd7,250,235,215,65fabb46962db3adedf2cf31,65f9ea319a9354a3f5193a65,65fac165962db3adedf2d007
ao_english,Ao (English),#008000,0,128,0,65fac165962db3adedf2d007,65fabb46962db3adedf2cf31,65fac193962db3adedf2d00e
apple_green,Apple Green,#8db600,141,182,0,65fac193962db3adedf2d00e,65fac165962db3adedf2d007,65f9ea319a9354a3f5193a65
apricot,Apricot,#fbceb1,251,206,177,65fac193962db3adedf2d00e,65fabb46962db3adedf2cf31,65fac094962db3adedf2cfe0
aqua,Aqua,#0ff,0,255,255,65fac094962db3adedf2cfe0,65f9ea319a9354a3f5193a65,65fac193962db3adedf2d00e
aquamarine,Aquamarine,#7fffd4,127,255,212,65fac193962db3adedf2d00e,65fac165962db3adedf2d007,65fabb46962db3adedf2cf31
army_green,Army Green,#4b5320,75,83,32,65fac193962db3adedf2d00e,65fabb46962db3adedf2cf31,65fac094962db3adedf2cfe0
arsenic,Arsenic,#3b444b,59,68,75,65fac11d962db3adedf2cffe,65fac165962db3adedf2d007,65fabb46962db3adedf2cf31
arylide_yellow,Arylide Yellow,#e9d66b,233,214,107,65fac193962db3adedf2d00e,65fac094962db3adedf2cfe0,65fabb46962db3adedf2cf31
